!SIL 1.0	sil
<UNK> 1.0	spn
quềnh 1.0	q u e e f n h
quệ 1.0	q u e e j
quệnh 1.0	q u e e j n h
quỉ 1.0	q u i r
quị 1.0	q u i j
quốc 1.0	q u o o s c
quới 1.0	q u o w s i
quớt 1.0	q u o w s t
quờ 1.0	q u o w f
quờn 1.0	q u o w f n
quỳ 1.0	q u y f
quỳnh 1.0	q u y f n h
quỵ 1.0	q u y j
quỵt 1.0	q u y j t
quỷ 1.0	q u y r
quỹ 1.0	q u y x
ra 1.0	r a
rai 1.0	r a i
ram 1.0	r a m
ran 1.0	r a n
rang 1.0	r a n g
ranh 1.0	r a n h
rao 1.0	r a o
rau 1.0	r a u
ray 1.0	r a y
re 1.0	r e
ren 1.0	r e n
reng 1.0	r e n g
reo 1.0	r e o
ri 1.0	r i
ria 1.0	r i a
rinh 1.0	r i n h
riu 1.0	r i u
riêng 1.0	r i e e n g
riêu 1.0	r i e e u
riếp 1.0	r i e e s p
riết 1.0	r i e e s t
riệt 1.0	r i e e j t
ro 1.0	r o
roi 1.0	r o i
rom 1.0	r o m
rong 1.0	r o n g
ru 1.0	r u
rua 1.0	r u a
run 1.0	r u n
rung 1.0	r u n g
ruốc 1.0	r u o o s c
ruồi 1.0	r u o o f i
ruổi 1.0	r u o o r i
ruỗng 1.0	r u o o x n g
ruộng 1.0	r u o o j n g
ruột 1.0	r u o o j t
rà 1.0	r a f
ràng 1.0	r a f n g
rành 1.0	r a f n h
rào 1.0	r a f o
rày 1.0	r a f y
rác 1.0	r a s c
rách 1.0	r a s c h
rái 1.0	r a s i
rán 1.0	r a s n
ráng 1.0	r a s n g
ráo 1.0	r a s o
ráp 1.0	r a s p
rát 1.0	r a s t
ráy 1.0	r a s y
râm 1.0	r a a m
rân 1.0	r a a n
râu 1.0	r a a u
rã 1.0	r a x
rãi 1.0	r a x i
rãy 1.0	r a x y
rèm 1.0	r e f m
rèn 1.0	r e f n
rèo 1.0	r e f o
rén 1.0	r e s n
réo 1.0	r e s o
rét 1.0	r e s t
rê 1.0	r e e
rên 1.0	r e e n
rêu 1.0	r e e u
rì 1.0	r i f
rìa 1.0	r i f a
rình 1.0	r i f n h
rít 1.0	r i s t
ríu 1.0	r i s u
ròi 1.0	r o f i
ròm 1.0	r o f m
ròng 1.0	r o f n g
ró 1.0	r o s
róc 1.0	r o s c
rói 1.0	r o s i
rón 1.0	r o s n
rót 1.0	r o s t
rô 1.0	r o o
rôm 1.0	r o o m
rõ 1.0	r o x
rùa 1.0	r u f a
rùm 1.0	r u f m
rú 1.0	r u s
rúc 1.0	r u s c
rúm 1.0	r u s m
rúng 1.0	r u s n g
rút 1.0	r u s t
răn 1.0	r a w n
răng 1.0	r a w n g
rĩ 1.0	r i x
rũ 1.0	r u x
rơ 1.0	r o w
rơi 1.0	r o w i
rơm 1.0	r o w m
rơn 1.0	r o w n
rưng 1.0	r u w n g
rươi 1.0	r u w o w i
rước 1.0	r u w o w s c
rưới 1.0	r u w o w s i
rướm 1.0	r u w o w s m
rười 1.0	r u w o w f i
rưởi 1.0	r u w o w r i
rưỡi 1.0	r u w o w x i
rượi 1.0	r u w o w j i
rượt 1.0	r u w o w j t
rượu 1.0	r u w o w j u
rạ 1.0	r a j
rạch 1.0	r a j c h
rạn 1.0	r a j n
rạng 1.0	r a j n g
rạo 1.0	r a j o
rạp 1.0	r a j p
rạt 1.0	r a j t
rạy 1.0	r a j y
rả 1.0	r a r
rải 1.0	r a r i
rảnh 1.0	r a r n h
rảo 1.0	r a r o
rấn 1.0	r a a s n
rấp 1.0	r a a s p
rất 1.0	r a a s t
rầm 1.0	r a a f m
rần 1.0	r a a f n
rầu 1.0	r a a f u
rầy 1.0	r a a f y
rẩy 1.0	r a a r y
rẫy 1.0	r a a x y
rận 1.0	r a a j n
rập 1.0	r a a j p
rật 1.0	r a a j t
rắc 1.0	r a w s c
rắm 1.0	r a w s m
rắn 1.0	r a w s n
rằm 1.0	r a w f m
rằng 1.0	r a w f n g
rặng 1.0	r a w j n g
rẹo 1.0	r e j o
rẹt 1.0	r e j t
rẻ 1.0	r e r
rẽ 1.0	r e x
rế 1.0	r e e s
rến 1.0	r e e s n
rết 1.0	r e e s t
rề 1.0	r e e f
rể 1.0	r e e r
rễ 1.0	r e e x
rệ 1.0	r e e j
rệt 1.0	r e e j t
rệu 1.0	r e e j u
rỉ 1.0	r i r
rỉa 1.0	r i r a
rỉnh 1.0	r i r n h
rịa 1.0	r i j a
rịch 1.0	r i j c h
rịn 1.0	r i j n
rịt 1.0	r i j t
rọ 1.0	r o j
rọc 1.0	r o j c
rọi 1.0	r o j i
rỏi 1.0	r o r i
rốc 1.0	r o o s c
rối 1.0	r o o s i
rốn 1.0	r o o s n
rống 1.0	r o o s n g
rốp 1.0	r o o s p
rốt 1.0	r o o s t
rồ 1.0	r o o f
rồi 1.0	r o o f i
rồng 1.0	r o o f n g
rổ 1.0	r o o r
rỗi 1.0	r o o x i
rỗng 1.0	r o o x n g
rộ 1.0	r o o j
rộc 1.0	r o o j c
rộn 1.0	r o o j n
rộng 1.0	r o o j n g
rộp 1.0	r o o j p
rớm 1.0	r o w s m
rớt 1.0	r o w s t
rờ 1.0	r o w f
rời 1.0	r o w f i
rờm 1.0	r o w f m
rờn 1.0	r o w f n
rỡ 1.0	r o w x
rỡn 1.0	r o w x n
rợ 1.0	r o w j
rợi 1.0	r o w j i
rợn 1.0	r o w j n
rợp 1.0	r o w j p
rục 1.0	r u j c
rụi 1.0	r u j i
rụng 1.0	r u j n g
rủ 1.0	r u r
rủa 1.0	r u r a
rủi 1.0	r u r i
rủng 1.0	r u r n g
rức 1.0	r u w s c
rứt 1.0	r u w s t
rừng 1.0	r u w f n g
rửa 1.0	r u w r a
rữa 1.0	r u w x a
rựa 1.0	r u w j a
rực 1.0	r u w j c
sa 1.0	s a
sai 1.0	s a i
sam 1.0	s a m
san 1.0	s a n
sang 1.0	s a n g
sanh 1.0	s a n h
sao 1.0	s a o
sau 1.0	s a u
say 1.0	s a y
se 1.0	s e
sen 1.0	s e n
si 1.0	s i
sim 1.0	s i m
sinh 1.0	s i n h
siêu 1.0	s i e e u
siết 1.0	s i e e s t
so 1.0	s o
soi 1.0	s o i
son 1.0	s o n
song 1.0	s o n g
soát 1.0	s o a s t
soạn 1.0	s o a j n
soạng 1.0	s o a j n g
soạt 1.0	s o a j t
su 1.0	s u
sum 1.0	s u m
sun 1.0	s u n
sung 1.0	s u n g
suy 1.0	s u y
suyển 1.0	s u y e e r n
suyễn 1.0	s u y e e x n
suýt 1.0	s u y s t
suất 1.0	s u a a s t
suối 1.0	s u o o s i
suốt 1.0	s u o o s t
sà 1.0	s a f
sài 1.0	s a f i
sàm 1.0	s a f m
sàn 1.0	s a f n
sàng 1.0	s a f n g
sành 1.0	s a f n h
sào 1.0	s a f o
sá 1.0	s a s
sác 1.0	s a s c
sách 1.0	s a s c h
sái 1.0	s a s i
sán 1.0	s a s n
sáng 1.0	s a s n g
sánh 1.0	s a s n h
sáo 1.0	s a s o
sáp 1.0	s a s p
sát 1.0	s a s t
sáu 1.0	s a s u
sâm 1.0	s a a m
sân 1.0	s a a n
sâu 1.0	s a a u
sãi 1.0	s a x i
sèo 1.0	s e f o
séc 1.0	s e s c
sét 1.0	s e s t
sên 1.0	s e e n
sênh 1.0	s e e n h
sêu 1.0	s e e u
sì 1.0	s i f
sính 1.0	s i s n h
sò 1.0	s o f
sòng 1.0	s o f n g
sóc 1.0	s o s c
sói 1.0	s o s i
són 1.0	s o s n
sóng 1.0	s o s n g
sót 1.0	s o s t
sô 1.0	s o o
sôi 1.0	s o o i
sông 1.0	s o o n g
sõi 1.0	s o x i
sùi 1.0	s u f i
sú 1.0	s u s
súc 1.0	s u s c
súng 1.0	s u s n g
súp 1.0	s u s p
sút 1.0	s u s t
súy 1.0	s u s y
săn 1.0	s a w n
sĩ 1.0	s i x
sũng 1.0	s u x n g
sơ 1.0	s o w
sơm 1.0	s o w m
sơn 1.0	s o w n
sư 1.0	s u w
sưa 1.0	s u w a
sưng 1.0	s u w n g
sưu 1.0	s u w u
sương 1.0	s u w o w n g
sướng 1.0	s u w o w s n g
sướt 1.0	s u w o w s t
sườn 1.0	s u w o w f n
sường 1.0	s u w o w f n g
sưởi 1.0	s u w o w r i
sượt 1.0	s u w o w j t
sạch 1.0	s a j c h
sạm 1.0	s a j m
sạn 1.0	s a j n
sạo 1.0	s a j o
sạp 1.0	s a j p
sạt 1.0	s a j t
sản 1.0	s a r n
sảng 1.0	s a r n g
sảnh 1.0	s a r n h
sảo 1.0	s a r o
sảy 1.0	s a r y
sấm 1.0	s a a s m
sấu 1.0	s a a s u
sấy 1.0	s a a s y
sầm 1.0	s a a f m
sần 1.0	s a a f n
sầu 1.0	s a a f u
sẩn 1.0	s a a r n
sẩy 1.0	s a a r y
sẫm 1.0	s a a x m
sập 1.0	s a a j p
sắc 1.0	s a w s c
sắm 1.0	s a w s m
sắn 1.0	s a w s n
sắng 1.0	s a w s n g
sắp 1.0	s a w s p
sắt 1.0	s a w s t
sẵn 1.0	s a w x n
sặc 1.0	s a w j c
sẹm 1.0	s e j m
sẹo 1.0	s e j o
sẻ 1.0	s e r
sẻn 1.0	s e r n
sẽ 1.0	s e x
sếp 1.0	s e e s p
sếu 1.0	s e e s u
sền 1.0	s e e f n
sể 1.0	s e e r
sểnh 1.0	s e e r n h
sễ 1.0	s e e x
sệt 1.0	s e e j t
sịt 1.0	s i j t
sọ 1.0	s o j
sọm 1.0	s o j m
sọt 1.0	s o j t
sỏ 1.0	s o r
sỏi 1.0	s o r i
số 1.0	s o o s
sốc 1.0	s o o s c
sống 1.0	s o o s n g
sốt 1.0	s o o s t
sồ 1.0	s o o f
sồi 1.0	s o o f i
sồn 1.0	s o o f n
sổ 1.0	s o o r
sỗ 1.0	s o o x
sộ 1.0	s o o j
sột 1.0	s o o j t
sớ 1.0	s o w s
sới 1.0	s o w s i
sớm 1.0	s o w s m
sớn 1.0	s o w s n
sớt 1.0	s o w s t
sờ 1.0	s o w f
sờm 1.0	s o w f m
sờn 1.0	s o w f n
sở 1.0	s o w r
sỡ 1.0	s o w x
sợ 1.0	s o w j
sợi 1.0	s o w j i
sụa 1.0	s u j a
sục 1.0	s u j c
sụn 1.0	s u j n
sụp 1.0	s u j p
sụt 1.0	s u j t
sủa 1.0	s u r a
sủi 1.0	s u r i
sứ 1.0	s u w s
sứa 1.0	s u w s a
sức 1.0	s u w s c
sứt 1.0	s u w s t
sừng 1.0	s u w f n g
sử 1.0	s u w r
sửa 1.0	s u w r a
sửng 1.0	s u w r n g
sữa 1.0	s u w x a
sững 1.0	s u w x n g
sự 1.0	s u w j
sực 1.0	s u w j c
sỹ 1.0	s y x
t 1.0	t
ta 1.0	t a
tai 1.0	t a i
tam 1.0	t a m
tan 1.0	t a n
tang 1.0	t a n g
tanh 1.0	t a n h
tao 1.0	t a o
tay 1.0	t a y
te 1.0	t e
tem 1.0	t e m
ten 1.0	t e n
teo 1.0	t e o
tha 1.0	t h a
thai 1.0	t h a i
tham 1.0	t h a m
than 1.0	t h a n
thang 1.0	t h a n g
thanh 1.0	t h a n h
thao 1.0	t h a o
thay 1.0	t h a y
the 1.0	t h e
then 1.0	t h e n
theo 1.0	t h e o
thi 1.0	t h i
thia 1.0	t h i a
thin 1.0	t h i n
thinh 1.0	t h i n h
thiêm 1.0	t h i e e m
thiên 1.0	t h i e e n
thiêng 1.0	t h i e e n g
thiếc 1.0	t h i e e s c
thiếp 1.0	t h i e e s p
thiết 1.0	t h i e e s t
thiếu 1.0	t h i e e s u
thiềm 1.0	t h i e e f m
thiền 1.0	t h i e e f n
thiều 1.0	t h i e e f u
thiển 1.0	t h i e e r n
thiểu 1.0	t h i e e r u
thiện 1.0	t h i e e j n
thiệp 1.0	t h i e e j p
thiệt 1.0	t h i e e j t
thiệu 1.0	t h i e e j u
tho 1.0	t h o
thoa 1.0	t h o a
thoang 1.0	t h o a n g
thoi 1.0	t h o i
thon 1.0	t h o n
thong 1.0	t h o n g
thoái 1.0	t h o a s i
thoáng 1.0	t h o a s n g
thoát 1.0	t h o a s t
thoăn 1.0	t h o a w n
thoại 1.0	t h o a j i
thoạt 1.0	t h o a j t
thoả 1.0	t h o a r
thoải 1.0	t h o a r i
thoảng 1.0	t h o a r n g
thoắt 1.0	t h o a w s t
thu 1.0	t h u
thua 1.0	t h u a
thui 1.0	t h u i
thun 1.0	t h u n
thung 1.0	t h u n g
thuyên 1.0	t h u y e e n
thuyết 1.0	t h u y e e s t
thuyền 1.0	t h u y e e f n
thuê 1.0	t h u e e
thuần 1.0	t h u a a f n
thuẫn 1.0	t h u a a x n
thuận 1.0	t h u a a j n
thuật 1.0	t h u a a j t
thuế 1.0	t h u e e s
thuốc 1.0	t h u o o s c
thuồng 1.0	t h u o o f n g
thuộc 1.0	t h u o o j c
thuở 1.0	t h u o w r
thuỷ 1.0	t h u y r
thà 1.0	t h a f
thài 1.0	t h a f i
thành 1.0	t h a f n h
thào 1.0	t h a f o
thác 1.0	t h a s c
thách 1.0	t h a s c h
thái 1.0	t h a s i
thám 1.0	t h a s m
thán 1.0	t h a s n
tháng 1.0	t h a s n g
thánh 1.0	t h a s n h
tháo 1.0	t h a s o
tháp 1.0	t h a s p
thâm 1.0	t h a a m
thân 1.0	t h a a n
thâu 1.0	t h a a u
thây 1.0	t h a a y
thãi 1.0	t h a x i
thèm 1.0	t h e f m
thèo 1.0	t h e f o
thép 1.0	t h e s p
thét 1.0	t h e s t
thê 1.0	t h e e
thêm 1.0	t h e e m
thênh 1.0	t h e e n h
thêu 1.0	t h e e u
thì 1.0	t h i f
thìa 1.0	t h i f a
thìn 1.0	t h i f n
thình 1.0	t h i f n h
thìu 1.0	t h i f u
thí 1.0	t h i s
thía 1.0	t h i s a
thích 1.0	t h i s c h
thím 1.0	t h i s m
thín 1.0	t h i s n
thính 1.0	t h i s n h
thíp 1.0	t h i s p
thít 1.0	t h i s t
thò 1.0	t h o f
thòi 1.0	t h o f i
thòng 1.0	t h o f n g
thó 1.0	t h o s
thóa 1.0	t h o s a
thóc 1.0	t h o s c
thói 1.0	t h o s i
thóp 1.0	t h o s p
thót 1.0	t h o s t
thô 1.0	t h o o
thôi 1.0	t h o o i
thôn 1.0	t h o o n
thông 1.0	t h o o n g
thõng 1.0	t h o x n g
thù 1.0	t h u f
thùm 1.0	t h u f m
thùng 1.0	t h u f n g
thùy 1.0	t h u f y
thú 1.0	t h u s
thúc 1.0	t h u s c
thúng 1.0	t h u s n g
thút 1.0	t h u s t
thúy 1.0	t h u s y
thăm 1.0	t h a w m
thăng 1.0	t h a w n g
thũng 1.0	t h u x n g
thơ 1.0	t h o w
thơi 1.0	t h o w i
thơm 1.0	t h o w m
thư 1.0	t h u w
thưa 1.0	t h u w a
thương 1.0	t h u w o w n g
thước 1.0	t h u w o w s c
thường 1.0	t h u w o w f n g
thưởng 1.0	t h u w o w r n g
thưỡi 1.0	t h u w o w x i
thưỡn 1.0	t h u w o w x n
thược 1.0	t h u w o w j c
thượng 1.0	t h u w o w j n g
thạc 1.0	t h a j c
thạch 1.0	t h a j c h
thạnh 1.0	t h a j n h
thạo 1.0	t h a j o
thả 1.0	t h a r
thải 1.0	t h a r i
thảm 1.0	t h a r m
thản 1.0	t h a r n
thảng 1.0	t h a r n g
thảnh 1.0	t h a r n h
thảo 1.0	t h a r o
thảy 1.0	t h a r y
thấm 1.0	t h a a s m
thấp 1.0	t h a a s p
thất 1.0	t h a a s t
thấu 1.0	t h a a s u
thấy 1.0	t h a a s y
thầm 1.0	t h a a f m
thần 1.0	t h a a f n
thầu 1.0	t h a a f u
thầy 1.0	t h a a f y
thẩm 1.0	t h a a r m
thẩn 1.0	t h a a r n
thẫm 1.0	t h a a x m
thẫn 1.0	t h a a x n
thậm 1.0	t h a a j m
thận 1.0	t h a a j n
thập 1.0	t h a a j p
thật 1.0	t h a a j t
thắc 1.0	t h a w s c
thắn 1.0	t h a w s n
thắng 1.0	t h a w s n g
thắp 1.0	t h a w s p
thắt 1.0	t h a w s t
thằn 1.0	t h a w f n
thằng 1.0	t h a w f n g
thẳm 1.0	t h a w r m
thẳng 1.0	t h a w r n g
thẻ 1.0	t h e r
thế 1.0	t h e e s
thếch 1.0	t h e e s c h
thếp 1.0	t h e e s p
thề 1.0	t h e e f
thềm 1.0	t h e e f m
thều 1.0	t h e e f u
thể 1.0	t h e e r
thệ 1.0	t h e e j
thỉ 1.0	t h i r
thỉnh 1.0	t h i r n h
thị 1.0	t h i j
thịch 1.0	t h i j c h
thịnh 1.0	t h i j n h
thịt 1.0	t h i j t
thịu 1.0	t h i j u
thọ 1.0	t h o j
thọc 1.0	t h o j c
thọt 1.0	t h o j t
thỏ 1.0	t h o r
thỏa 1.0	t h o r a
thỏi 1.0	t h o r i
thỏm 1.0	t h o r m
thố 1.0	t h o o s
thốc 1.0	t h o o s c
thối 1.0	t h o o s i
thốn 1.0	t h o o s n
thống 1.0	t h o o s n g
thốt 1.0	t h o o s t
thồ 1.0	t h o o f
thồi 1.0	t h o o f i
thồn 1.0	t h o o f n
thổ 1.0	t h o o r
thổi 1.0	t h o o r i
thộp 1.0	t h o o j p
thới 1.0	t h o w s i
thớt 1.0	t h o w s t
thờ 1.0	t h o w f
thời 1.0	t h o w f i
thở 1.0	t h o w r
thợ 1.0	t h o w j
thụ 1.0	t h u j
thục 1.0	t h u j c
thụng 1.0	t h u j n g
thụp 1.0	t h u j p
thụt 1.0	t h u j t
thụy 1.0	t h u j y
thủ 1.0	t h u r
thủa 1.0	t h u r a
thủi 1.0	t h u r i
thủng 1.0	t h u r n g
thủy 1.0	t h u r y
thứ 1.0	t h u w s
thức 1.0	t h u w s c
thừ 1.0	t h u w f
thừa 1.0	t h u w f a
thừng 1.0	t h u w f n g
thử 1.0	t h u w r
thửa 1.0	t h u w r a
thững 1.0	t h u w x n g
thự 1.0	t h u w j
thực 1.0	t h u w j c
ti 1.0	t i
tia 1.0	t i a
tim 1.0	t i m
tin 1.0	t i n
tinh 1.0	t i n h
tiu 1.0	t i u
tiêm 1.0	t i e e m
tiên 1.0	t i e e n
tiêu 1.0	t i e e u
tiếc 1.0	t i e e s c
tiếm 1.0	t i e e s m
tiến 1.0	t i e e s n
tiếng 1.0	t i e e s n g
tiếp 1.0	t i e e s p
tiết 1.0	t i e e s t
tiếu 1.0	t i e e s u
tiềm 1.0	t i e e f m
tiền 1.0	t i e e f n
tiểu 1.0	t i e e r u
tiễn 1.0	t i e e x n
tiễu 1.0	t i e e x u
tiệc 1.0	t i e e j c
tiệm 1.0	t i e e j m
tiện 1.0	t i e e j n
to 1.0	t o
toa 1.0	t o a
toan 1.0	t o a n
toanh 1.0	t o a n h
toe 1.0	t o e
tong 1.0	t o n g
top 1.0	t o p
toà 1.0	t o a f
toài 1.0	t o a f i
toàn 1.0	t o a f n
toái 1.0	t o a s i
toán 1.0	t o a s n
toát 1.0	t o a s t
toét 1.0	t o e s t
toạc 1.0	t o a j c
toả 1.0	t o a r
toản 1.0	t o a r n
toẹt 1.0	t o e j t
tra 1.0	t r a
trai 1.0	t r a i
trang 1.0	t r a n g
tranh 1.0	t r a n h
trao 1.0	t r a o
trau 1.0	t r a u
tre 1.0	t r e
treo 1.0	t r e o
tri 1.0	t r i
trinh 1.0	t r i n h
triêng 1.0	t r i e e n g
triết 1.0	t r i e e s t
triền 1.0	t r i e e f n
triềng 1.0	t r i e e f n g
triều 1.0	t r i e e f u
triển 1.0	t r i e e r n
triệng 1.0	t r i e e j n g
triệt 1.0	t r i e e j t
triệu 1.0	t r i e e j u
tro 1.0	t r o
trong 1.0	t r o n g
tru 1.0	t r u
trung 1.0	t r u n g
truy 1.0	t r u y
truyền 1.0	t r u y e e f n
truyện 1.0	t r u y e e j n
truân 1.0	t r u a a n
truật 1.0	t r u a a j t
truồng 1.0	t r u o o f n g
trà 1.0	t r a f
trài 1.0	t r a f i
tràm 1.0	t r a f m
tràn 1.0	t r a f n
tràng 1.0	t r a f n g
trành 1.0	t r a f n h
trào 1.0	t r a f o
trá 1.0	t r a s
trách 1.0	t r a s c h
trái 1.0	t r a s i
trám 1.0	t r a s m
trán 1.0	t r a s n
tráng 1.0	t r a s n g
tránh 1.0	t r a s n h
tráo 1.0	t r a s o
tráp 1.0	t r a s p
trát 1.0	t r a s t
trâm 1.0	t r a a m
trân 1.0	t r a a n
trâu 1.0	t r a a u
trã 1.0	t r a x
trãi 1.0	t r a x i
trèo 1.0	t r e f o
trém 1.0	t r e s m
tréo 1.0	t r e s o
trê 1.0	t r e e
trên 1.0	t r e e n
trêu 1.0	t r e e u
trì 1.0	t r i f
trình 1.0	t r i f n h
trìu 1.0	t r i f u
trí 1.0	t r i s
trích 1.0	t r i s c h
trò 1.0	t r o f
tròn 1.0	t r o f n
tròng 1.0	t r o f n g
tróc 1.0	t r o s c
tróng 1.0	t r o s n g
trót 1.0	t r o s t
trôi 1.0	t r o o i
trôm 1.0	t r o o m
trông 1.0	t r o o n g
trõn 1.0	t r o x n
trù 1.0	t r u f
trùi 1.0	t r u f i
trùm 1.0	t r u f m
trùn 1.0	t r u f n
trùng 1.0	t r u f n g
trú 1.0	t r u s
trúc 1.0	t r u s c
trúm 1.0	t r u s m
trúng 1.0	t r u s n g
trút 1.0	t r u s t
trăm 1.0	t r a w m
trăn 1.0	t r a w n
trăng 1.0	t r a w n g
trĩ 1.0	t r i x
trĩu 1.0	t r i x u
trũng 1.0	t r u x n g
trơ 1.0	t r o w
trơi 1.0	t r o w i
trơn 1.0	t r o w n
trư 1.0	t r u w
trưa 1.0	t r u w a
trưng 1.0	t r u w n g
trương 1.0	t r u w o w n g
trước 1.0	t r u w o w s c
trướng 1.0	t r u w o w s n g
trường 1.0	t r u w o w f n g
trưởng 1.0	t r u w o w r n g
trưỡng 1.0	t r u w o w x n g
trượt 1.0	t r u w o w j t
trạc 1.0	t r a j c
trại 1.0	t r a j i
trạm 1.0	t r a j m
trạng 1.0	t r a j n g
trả 1.0	t r a r
trải 1.0	t r a r i
trảo 1.0	t r a r o
trảu 1.0	t r a r u
trấn 1.0	t r a a s n
trấu 1.0	t r a a s u
trầm 1.0	t r a a f m
trần 1.0	t r a a f n
trầu 1.0	t r a a f u
trầy 1.0	t r a a f y
trẫm 1.0	t r a a x m
trận 1.0	t r a a j n
trật 1.0	t r a a j t
trắc 1.0	t r a w s c
trắng 1.0	t r a w s n g
trằn 1.0	t r a w f n
trặc 1.0	t r a w j c
trặn 1.0	t r a w j n
trẹo 1.0	t r e j o
trẻ 1.0	t r e r
trẽn 1.0	t r e x n
trếch 1.0	t r e e s c h
trề 1.0	t r e e f
trễ 1.0	t r e e x
trệ 1.0	t r e e j
trệt 1.0	t r e e j t
trị 1.0	t r i j
trịa 1.0	t r i j a
trịch 1.0	t r i j c h
trịnh 1.0	t r i j n h
trịt 1.0	t r i j t
trọ 1.0	t r o j
trọc 1.0	t r o j c
trọi 1.0	t r o j i
trọn 1.0	t r o j n
trọng 1.0	t r o j n g
trọt 1.0	t r o j t
trỏ 1.0	t r o r
trốn 1.0	t r o o s n
trống 1.0	t r o o s n g
trồ 1.0	t r o o f
trồi 1.0	t r o o f i
trồng 1.0	t r o o f n g
trổ 1.0	t r o o r
trộ 1.0	t r o o j
trộm 1.0	t r o o j m
trộn 1.0	t r o o j n
trớ 1.0	t r o w s
trớn 1.0	t r o w s n
trớt 1.0	t r o w s t
trờ 1.0	t r o w f
trời 1.0	t r o w f i
trở 1.0	t r o w r
trợ 1.0	t r o w j
trợn 1.0	t r o w j n
trợt 1.0	t r o w j t
trụ 1.0	t r u j
trụa 1.0	t r u j a
trục 1.0	t r u j c
trụi 1.0	t r u j i
trụt 1.0	t r u j t
trụy 1.0	t r u j y
trứ 1.0	t r u w s
trứng 1.0	t r u w s n g
trừ 1.0	t r u w f
trừng 1.0	t r u w f n g
trửng 1.0	t r u w r n g
trữ 1.0	t r u w x
trực 1.0	t r u w j c
tu 1.0	t u
tua 1.0	t u a
tui 1.0	t u i
tum 1.0	t u m
tung 1.0	t u n g
tuy 1.0	t u y
tuyên 1.0	t u y e e n
tuyến 1.0	t u y e e s n
tuyết 1.0	t u y e e s t
tuyền 1.0	t u y e e f n
tuyển 1.0	t u y e e r n
tuyệt 1.0	t u y e e j t
tuân 1.0	t u a a n
tuôn 1.0	t u o o n
tuông 1.0	t u o o n g
tuấn 1.0	t u a a s n
tuần 1.0	t u a a f n
tuế 1.0	t u e e s
tuệ 1.0	t u e e j
tuệch 1.0	t u e e j c h
tuốt 1.0	t u o o s t
tuồn 1.0	t u o o f n
tuồng 1.0	t u o o f n g
tuổi 1.0	t u o o r i
tuột 1.0	t u o o j t
tuỳ 1.0	t u y f
ty 1.0	t y
tà 1.0	t a f
tài 1.0	t a f i
tàn 1.0	t a f n
tàng 1.0	t a f n g
tành 1.0	t a f n h
tào 1.0	t a f o
tàu 1.0	t a f u
tày 1.0	t a f y
tá 1.0	t a s
tác 1.0	t a s c
tách 1.0	t a s c h
tái 1.0	t a s i
tám 1.0	t a s m
tán 1.0	t a s n
táng 1.0	t a s n g
tánh 1.0	t a s n h
táo 1.0	t a s o
táp 1.0	t a s p
tát 1.0	t a s t
táy 1.0	t a s y
tâm 1.0	t a a m
tân 1.0	t a a n
tây 1.0	t a a y
tã 1.0	t a x
tãi 1.0	t a x i
tè 1.0	t e f
tèn 1.0	t e f n
té 1.0	t e s
téc 1.0	t e s c
tém 1.0	t e s m
tén 1.0	t e s n
tép 1.0	t e s p
tét 1.0	t e s t
tê 1.0	t e e
tên 1.0	t e e n
tì 1.0	t i f
tìm 1.0	t i f m
tình 1.0	t i f n h
tí 1.0	t i s
tía 1.0	t i s a
tích 1.0	t i s c h
tím 1.0	t i s m
tín 1.0	t i s n
tính 1.0	t i s n h
típ 1.0	t i s p
tít 1.0	t i s t
tíu 1.0	t i s u
tò 1.0	t o f
tòa 1.0	t o f a
tòe 1.0	t o f e
tòi 1.0	t o f i
tòm 1.0	t o f m
tòng 1.0	t o f n g
tóc 1.0	t o s c
tóe 1.0	t o s e
tóm 1.0	t o s m
tóp 1.0	t o s p
tô 1.0	t o o
tôi 1.0	t o o i
tôm 1.0	t o o m
tôn 1.0	t o o n
tông 1.0	t o o n g
tù 1.0	t u f
tùa 1.0	t u f a
tùng 1.0	t u f n g
tùy 1.0	t u f y
tú 1.0	t u s
túc 1.0	t u s c
túi 1.0	t u s i
túm 1.0	t u s m
túng 1.0	t u s n g
tút 1.0	t u s t
túy 1.0	t u s y
tý 1.0	t y s
tăm 1.0	t a w m
tăn 1.0	t a w n
tăng 1.0	t a w n g
tĩnh 1.0	t i x n h
tũm 1.0	t u x m
tơ 1.0	t o w
tơi 1.0	t o w i
tư 1.0	t u w
tưa 1.0	t u w a
tưng 1.0	t u w n g
tươi 1.0	t u w o w i
tươm 1.0	t u w o w m
tương 1.0	t u w o w n g
tước 1.0	t u w o w s c
tưới 1.0	t u w o w s i
tướng 1.0	t u w o w s n g
tườm 1.0	t u w o w f m
tường 1.0	t u w o w f n g
tườu 1.0	t u w o w f u
tưởi 1.0	t u w o w r i
tưởng 1.0	t u w o w r n g
tượng 1.0	t u w o w j n g
tượp 1.0	t u w o w j p
tạ 1.0	t a j
tạch 1.0	t a j c h
tại 1.0	t a j i
tạm 1.0	t a j m
tạng 1.0	t a j n g
tạo 1.0	t a j o
tạp 1.0	t a j p
tạt 1.0	t a j t
tả 1.0	t a r
tải 1.0	t a r i
tản 1.0	t a r n
tảng 1.0	t a r n g
tảo 1.0	t a r o
tấc 1.0	t a a s c
tấm 1.0	t a a s m
tấn 1.0	t a a s n
tấp 1.0	t a a s p
tất 1.0	t a a s t
